CompanyID,CompanyDescription
1,"Uber Technologies is a company that develops a mobile application connecting consumers with drivers for transportation services. It operates Mobility, Delivery, and Freight segments. The Mobility segment offers solutions that connects consumers with a wide range of transportation modalities, such as ridesharing, carsharing, micromobility, rentals, public transit, taxis, etc. The Delivery segment provides an offering that allows consumers to search for and discover local restaurants, order a meal, and either pick-up at the restaurant or have the meal delivered. The Freight segment offers a platform connecting carriers with shippers and giving carriers information about pricing and the ability to book a shipment."
2,"Meta Platforms (formerly known as Facebook) is a technology company that provides online social networking and augmented reality solutions and services. It operates through two segments: Family of Apps (FoA) and Reality Labs (RL). The FoA segment offers social media and messaging apps such as Facebook, Messenger, Instagram, and WhatsApp. The RL segment offers augmented and virtual reality hardware, software, and content products, including Meta Quest and Facebook Portal."
3,"On October 2, 2015, Google had a corporate restructuring and became a subsidiary of Alphabet. For more metrics, please visit the Alphabet profile. Google is a multinational corporation that specializes in Internet-related services and products. It provides online advertising technologies, a search engine, cloud computing, software, and hardware. The company offers a range of products for the general public, including Connected Home, Gmail, Google Meet, Google Play, Waze, and YouTube. It also provides products for businesses, such as AdMob, Blogger, Google Workspace, Google Ads, Google Merchant Center, Google Trends, Optimize, and Waze Ads."
4,"Alphabet is a holding company for Google and several Google entities. It operates through two segments: Google Services and Google Cloud. The Google Services segment includes products and platforms such as ads, Android, Chrome, hardware, Gmail, Google Drive, Google Maps, Google Photos, Google Play, Search, and YouTube. The Google Cloud segment provides enterprise-ready cloud services, including Google Cloud Platform and Google Workspace. Google Cloud Platform enables developers to build, test, and deploy applications on its infrastructure. Google Workspace collaboration tools include apps such as Gmail, Docs, Drive, Calendar, Meet, etc."
5,"Netflix is a streaming service provider that offers TV series, movies, anime, documentaries, mobile games, etc. It streams on TVs, computers, mobile, and other internet-connected devices and offers various genres and languages. The company also provides DVDs-by-mail membership services and profile creation for kids."
6,"Amazon is a company operating a marketplace for consumers, sellers, and content creators. It offers merchandise and content purchased for resale from vendors and those offered by third-party sellers. The company enables authors, musicians, filmmakers, app developers, and other creators to publish and sell content via its branded websites. Amazon also provides Kindle Direct Publishing, an online platform that allows independent authors and publishers to make their books available in the Kindle Store. In addition, the company offers co-branded credit card agreements and advertising services, serves developers and enterprises through Amazon Web Services, and manufactures and sells electronic devices."
7,"Tesla is a company that designs, develops, manufactures, and sells electric vehicles and energy storage systems. It operates through two segments: Automotive and Energy Generation and Storage. In addition, Tesla provides electric vehicle powertrain components and systems to other manufacturers and installs, operates, and maintains solar and energy storage products."
8,"Apple is a company that designs, manufactures, and markets mobile communication and media devices. It offers personal computers, portable digital music players, smartphones, headphones, tablets, and a variety of related software, services, peripherals, networking solutions, and third-party digital content and applications. The company also operates various platforms that enable customers to discover and download applications and digital content, such as books, music, video, games, and podcasts."
9,"Samsung Electronics (삼성전자) is a company engaged in the manufacture and distribution of electronic products. It operates through two segments: DX (Device eXperience) and DS (Device Solutions). DX was integrated with the Consumer Electronics (CE) division responsible for TVs, monitors, air conditioners, refrigerators, etc., and the Information Technology and Mobile Communications (IM) division responsible for mobile devices, network systems, computers, etc. The DS division includes memory, system LSI, foundry businesses, etc."
10,"Lyft is a rideshare company that provides transportation solutions and programs. It designs, markets, and operates a mobile application that matches drivers with passengers who request rides. The company also offers payment through its application."
